PTSTOP,NAME
1,San Pablo Ave & Page St
2,San Pablo Ave & Page St
3,San Pablo Ave & Gilman St
4,San Pablo Ave & Gilman St
5,San Pable Ave & Harrison St
6,San Pablo Ave & Harrison St
7,San Pablo Ave & Monroe St
9,San Pablo Ave & W Grand Ave
10,San Pablo Ave & W Grand Ave
11,San Pablo Ave & 25th St
12,San Pablo Ave & 25th St
13,San Pablo Ave & Milton St
14,San Pablo Ave & 28th St
15,San Pablo Ave & Market St
16,San Pablo Ave & 30th St
17,San Pablo Ave & Market St
18,San Pablo Ave & 32nd St
19,San Pablo Ave & Brockhurst St
20,San Pablo Ave & 34th St
21,San Pablo Ave & 34th St
22,San Pablo Ave & 36th St
23,San Pablo Ave & 37th St
24,San Pablo Ave & 40th St
25,San Pablo Ave & 40th St
26,San Pablo Ave & 45th St
27,San Pablo AVe & 47th St
28,San Pablo Ave & 47th St
30,San Pablo Ave & 54th St
31,San Pablo Ave & 56th St
32,San Pablo Ave & 56th St
33,San Pablo Ave & Stanford Ave
34,San Pablo Ave & Stanford Ave
35,San Pablo Ave & 62nd St
36,San Pablo Ave & 62nd St
37,San Pablo Ave & 64th St
38,San Pablo Ave & Alcatraz Ave
39,San Pablo Ave & 65th St
40,San Pablo Ave & 66th St
41,San Pablo Ave & 67th St
42,San Pablo Ave & Haskell St
43,San Pablo Ave & Ashby Ave
44,San Pablo Ave & Ashby Ave
45,San Pablo Ave & Heinz Ave
46,San Pablo Ave & Oregon St
47,San Pablo Ave & Grayson St
48,San Pablo Ave & Pardee St
50,San Pablo Ave & Parker St
51,San Pablo Ave & Dwight Way
52,San Pablo Ave & Dwight Way
53,San Pablo Ave & Channing Way
55,San Pablo Ave & Bancroft Way
56,San Pablo Ave & Bancroft Way
57,San Pablo Ave & Allston Way
58,San Pablo Ave & Allston Way
59,San Pablo Ave & University Ave
60,San Pablo Ave & University Ave
61,San Pablo Ave & Delaware St
62,San Pablo Ave & Delaware St
63,San Pablo Ave & Cedar St
64,San Pablo Ave & Cedar St
65,San Pablo Ave & Monroe St
66,San Pablo Ave & Marin Ave
67,San Pablo Ave & Marin Ave
68,San Pablo Ave and Buchanan St
69,San Pablo Ave & Buchanan St
70,San Pablo Ave & Solano Ave
71,San Pablo Ave & Solano Ave
72,San Pablo Ave & Portland Ave
73,San Pablo Ave & Castro St
74,San Pablo Ave & Brighton Ave
75,San Pablo Ave & Brighton Ave
76,San Pablo Ave & Carlson Blvd
77,San Pablo Ave & Carlson Blvd
78,San Pablo Ave & Fairmount Ave
79,San Pablo Ave & Fairmount Ave
80,San Pablo Ave & Castro St
81,San Pablo Ave & 45th St
82,San Pablo AVe & 20th St
83,San Pablo Ave & Grayson Ave
84,20th St & Broadway 
85,MLK Jr Way & 22nd St
86,MLK Jr Way & W Grand Ave
87,San Pablo Ave & Central Ave
88,San Pablo Ave & Central Ave
89,San Pablo Ave & W Grand Ave
90,Market Ave & San Pablo Ave
91,Market St & San Pablo Ave
92,Cedar St & San Pablo Ave
94,Central Ave & Carlson Blvd
95,University Ave & Ninth St
96,Solano Ave & Kains Ave
97,Central Ave & Yosemite Ave
98,Central Ave & Carlson Blvd
99,San Pablo Ave & El Dorado St
100,San Pablo Ave & Central Ave
101,San Pablo Ave & 20th St
102,San Pablo Ave & Channing Way
103,San Pablo Ave & Parker St
104,San Pablo Ave & 53rd St
105,San Pablo and Gilman
106,Marin and Jackson/Buchanan
107,Marin and Jackson/Buchanan
108,San Pablo and Marin
109,Ashby and 7th
110,Ashby and 7th
111,San Pablo and Ashby
112,San Pablo and Ashby
